"ID","method","acc"
"subject.01","RF",78.04878049
"subject.02","RF",87.87878788
"subject.07","RF",72.22222222
"subject.09","RF",82.14285714
"subject.10","RF",88.88888889
"subject.12","RF",85.36585366
"subject.15","RF",91.4893617
"subject.24","RF",82.65306122
"subject.29","RF",83.09859155
"subject.30","RF",89.79591837
"subject.01","Crotti_w",73.20487805
"subject.02","Crotti_w",79.33939394
"subject.07","Crotti_w",47.62222222
"subject.09","Crotti_w",54.44761905
"subject.10","Crotti_w",64.41234568
"subject.12","Crotti_w",62.22926829
"subject.15","Crotti_w",70.50638298
"subject.24","Crotti_w",48.66530612
"subject.29","Crotti_w",61.45633803
"subject.30","Crotti_w",69.07346939
"subject.01","Johannson",74.28780488
"subject.02","Johannson",66.52727273
"subject.07","Johannson",51.57777778
"subject.09","Johannson",72.37142857
"subject.10","Johannson",66.63950617
"subject.12","Johannson",54.77560976
"subject.15","Johannson",81.03404255
"subject.24","Johannson",41.75918367
"subject.29","Johannson",37.46197183
"subject.30","Johannson",59.10612245
"subject.01","Li",50
"subject.02","Li",50
"subject.07","Li",50
"subject.09","Li",71.42857143
"subject.10","Li",65
"subject.12","Li",40
"subject.15","Li",66.66666667
"subject.24","Li",12.5
"subject.29","Li",37.14285714
"subject.30","Li",58.33333333
"subject.01","Roscoe",35.28455285
"subject.02","Roscoe",41.56626506
"subject.07","Roscoe",39.34911243
"subject.09","Roscoe",28.12006319
"subject.10","Roscoe",33.41563786
"subject.12","Roscoe",52.17041801
"subject.15","Roscoe",60.72931276
"subject.24","Roscoe",36.05442177
"subject.29","Roscoe",54.35801312
"subject.30","Roscoe",42.19810041
